transaction_id,customer_id,customer_email,customer_name,customer_gender,customer_age,customer_phone,customer_street1,customer_street2,customer_city,customer_state,customer_zip,customer_country,customer_lat,customer_long,customer_creditcard_account_no,service_id,service_name,service_category_super,service_category_sub,service_rate,service_provider_id,service_provider_email,service_provider_name,service_provider_gender,service_provider_age,service_provider_phone,service_provider_street1,service_provider_street2,service_provider_city,service_provider_state,service_provider_zip,service_provider_country,service_provider_lat,service_provider_long,service_hours,service_total_amount,booking_date,service_date,actual_service_date,transaction_status,service_status,is_cancelled,is_delivered_on_time
1,yash1,y1@xyz.com,yash1,m,23,12345678,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,4576899,10,"service 7",plumbing,"drain repair",22,deepak4,d4@xyz.com,"deepak yadav 4",f,30,1234567890,"2851 south king drive","apt 909",chicago,illinois,60616,"United States",41.8425894,-87.616469,2,44,12/04/2020,,,approved,pending,1,0
2,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,48,"service 45",plumbing,"plumbing service",18,deepak23,d23@xyz.com,"deepak yadav 23",m,52,1234567890,"2120 W Washington Blvd",67,chicago,illinois,60612,"United States",41.8833904,-87.6801106,2,36,12/05/2020,,,approved,rejected,0,0
3,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,50,"service 47","pest control","bed bugs",25,deepak24,d24@xyz.com,"deepak yadav 24",f,53,1234567890,"205 W Randolph St",#900,chicago,illinois,60606,"United States",41.8839253,-87.6341816,4,100,12/05/2020,12/10/2020,12/11/2020,approved,accepted,0,0
4,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,18,"service 15","pest control",mosquito,32,deepak8,d8@xyz.com,"deepak yadav 8",f,67,1234567890,"2251 S Michigan Ave",456,chicago,illinois,60616,"United States",41.8514378,-87.6230742,1,32,12/05/2020,12/10/2020,12/11/2020,disputed,accepted,0,0
5,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,4,"service 1",cleaning,"home sanitization",23,deepak1,d1@xyz.com,"deepak yadav 1",m,24,1234567890,"3001 south king drive","apt 101",chicago,illinois,60616,usa,41.8392839,-87.6163853,1,23,12/05/2020,12/11/2020,12/11/2020,approved,accepted,0,1
6,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,20,"service 17",electrics,"new wiring",32,deepak9,d9@xyz.com,"deepak yadav 9",f,34,1234567890,"238 W Cermak Rd",123,chicago,illinois,60616,"United States",41.8530414,-87.6333303,4,128,12/05/2020,12/06/2020,12/06/2020,approved,accepted,0,1
7,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,38,"service 35",appliances,chimney,20,deepak18,d18@xyz.com,"deepak yadav 18",f,76,1234567890,"7200 S Cicero Ave",13,chicago,illinois,60629,"United States",41.7627181,-87.7459841,4,80,12/05/2020,12/10/2020,12/10/2020,approved,accepted,0,1
8,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,54,"service 51",moving,"packers and movers",30,deepak26,d26@xyz.com,"deepak yadav 26",m,45,1234567890,"1300 S Wabash Ave",#200,chicago,illinois,60605,"United States",41.8656129,-87.6261433,7,210,12/05/2020,,,disputed,rejected,0,0
9,yash1,y1@xyz.com,yash1,f,21,214343t52,"2901 south king drive","apt 1117",chicago,illinois,60616,usa,41.8415404,-87.6164621,322131231,7,"service 4",cleaning,bathroom,34,deepak2,d2@xyz.com,"deepak yadav 2",m,24,1234567890,"2951 south king drive","apt 110",chicago,illinois,60616,"United States",41.8404099,-87.6164229,2,68,12/05/2020,12/16/2020,12/16/2020,approved,accepted,0,1
10,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,16,"service 13","pest control",ants,25,deepak7,d7@xyz.com,"deepak yadav 7",f,56,1234567890,"2929 S Wabash","Ave #202",chicago,illinois,60616,"United States",41.8409592,-87.6248837,1,25,12/05/2020,12/06/2020,12/07/2020,approved,accepted,0,0
11,yash2,y2@xyz.com,yash2,m,32,46278930,"2759 W 37th Pl",123,Chicago,IL,60632,"United States",41.8254029,-87.6945269,4367892,33,"service 30",appliances,refrigerator,27,deepak15,d15@xyz.com,"deepak yadav 15",f,57,1234567890,"2803 S Cicero Ave",345,chicago,illinois,60804,"United States",41.841408,-87.7411616,5,135,12/05/2020,12/11/2020,12/12/2020,approved,accepted,0,0
